Trade_Date,Make_Date,Index_Type,Security_Code,Time,Trade_Price,Price_Type,Trade_Volume,No,Contract_Month
20200302,20200228,73,165030073,163001045,25357,O,8,1,202003
20200302,20200228,73,165030073,163008744,25342,N,2,2,202003
20200302,20200228,73,165030073,163116553,25404,N,1,3,202003
20200302,20200228,73,165030073,163123515,25399,N,10,4,202003
20200302,20200228,73,165030073,163135331,25386,N,1,5,202003
20200302,20200228,73,165030073,163149336,25385,N,1,6,202003
20200302,20200228,73,165030073,163157804,25385,N,1,7,202003
20200302,20200228,73,165030073,163239535,25421,N,1,8,202003
20200302,20200228,73,165030073,163300386,25403,N,20,9,202003
20200302,20200228,73,165030073,163447305,25440,N,1,10,202003
20200302,20200228,73,165030073,163506170,25431,N,3,11,202003
20200302,20200228,73,165030073,163613414,25400,N,5,12,202003
20200302,20200228,73,165030073,163622550,25388,N,1,13,202003
20200302,20200228,73,165030073,163628220,25378,N,4,14,202003
20200302,20200228,73,165030073,163638732,25367,N,2,15,202003
20200302,20200228,73,165030073,163739489,25354,N,1,16,202003
20200302,20200228,73,165030073,163759820,25345,N,10,17,202003
20200302,20200228,73,165030073,163859972,25325,N,5,18,202003
20200302,20200228,73,165030073,163937784,25250,N,18,19,202003
20200302,20200228,73,165030073,163937784,25248,N,4,20,202003
20200302,20200228,73,165030073,163937789,25249,N,11,21,202003
20200302,20200228,73,165030073,164109013,25243,N,10,22,202003
20200302,20200228,73,165030073,164136979,25276,N,1,23,202003
20200302,20200228,73,165030073,164146112,25273,N,10,24,202003
20200302,20200228,73,165030073,164200638,25274,N,1,25,202003
20200302,20200228,73,165030073,164246982,25254,N,1,26,202003
20200302,20200228,73,165030073,164326188,25230,N,1,27,202003
20200302,20200228,73,165030073,164340336,25191,N,10,28,202003
20200302,20200228,73,165030073,164344230,25204,N,3,29,202003
20200302,20200228,73,165030073,164348884,25206,N,2,30,202003
20200302,20200228,73,165030073,164412341,25259,N,10,31,202003
20200302,20200228,73,165030073,164616386,25250,N,10,32,202003
20200302,20200228,73,165030073,164706047,25300,N,1,33,202003
20200302,20200228,73,165030073,164709239,25312,N,1,34,202003
20200302,20200228,73,165030073,164825192,25322,N,1,35,202003
20200302,20200228,73,165030073,165033725,25315,N,1,36,202003
20200302,20200228,73,165030073,165245548,25291,N,1,37,202003
20200302,20200228,73,165030073,165307164,25258,N,1,38,202003
20200302,20200228,73,165030073,165318108,25261,N,1,39,202003
20200302,20200228,73,165030073,165441296,25250,N,1,40,202003
20200302,20200228,73,165030073,165620170,25261,N,5,41,202003
20200302,20200228,73,165030073,165622015,25261,N,1,42,202003
20200302,20200228,73,165030073,165622534,25261,N,5,43,202003
20200302,20200228,73,165030073,165624882,25261,N,5,44,202003
20200302,20200228,73,165030073,165624883,25261,N,5,45,202003
20200302,20200228,73,165030073,165647374,25261,N,5,46,202003
20200302,20200228,73,165030073,170137041,25262,N,1,47,202003
20200302,20200228,73,165030073,170153654,25284,N,1,48,202003
20200302,20200228,73,165030073,170321074,25344,N,5,49,202003
20200302,20200228,73,165030073,170402800,25353,N,1,50,202003
20200302,20200228,73,165030073,170436369,25361,N,1,51,202003
20200302,20200228,73,165030073,170453057,25369,N,2,52,202003
20200302,20200228,73,165030073,170453089,25369,N,1,53,202003
20200302,20200228,73,165030073,170453089,25369,N,1,54,202003
20200302,20200228,73,165030073,170456014,25369,N,1,55,202003
20200302,20200228,73,165030073,170512482,25393,N,5,56,202003
20200302,20200228,73,165030073,170523431,25422,N,1,57,202003
20200302,20200228,73,165030073,170545763,25403,N,3,58,202003
20200302,20200228,73,165030073,170717268,25321,N,2,59,202003
20200302,20200228,73,165030073,170730192,25330,N,1,60,202003
20200302,20200228,73,165030073,170735976,25338,N,1,61,202003
20200302,20200228,73,165030073,170859291,25307,N,1,62,202003
20200302,20200228,73,165030073,170932781,25311,N,2,63,202003
20200302,20200228,73,165030073,171103601,25371,N,1,64,202003
20200302,20200228,73,165030073,171448968,25340,N,1,65,202003
20200302,20200228,73,165030073,171520041,25358,N,1,66,202003
20200302,20200228,73,165030073,171540202,25316,N,1,67,202003
20200302,20200228,73,165030073,171805710,25365,N,1,68,202003
20200302,20200228,73,165030073,172058621,25435,N,2,69,202003
20200302,20200228,73,165030073,172359562,25400,N,10,70,202003
20200302,20200228,73,165030073,172359562,25401,N,1,71,202003
20200302,20200228,73,165030073,172437065,25444,N,1,72,202003
20200302,20200228,73,165030073,172439327,25450,N,1,73,202003
20200302,20200228,73,165030073,172633688,25427,N,3,74,202003
20200302,20200228,73,165030073,172708736,25434,N,1,75,202003
20200302,20200228,73,165030073,172947484,25378,N,1,76,202003
20200302,20200228,73,165030073,172953325,25371,N,1,77,202003
20200302,20200228,73,165030073,173213320,25323,N,1,78,202003
20200302,20200228,73,165030073,173228263,25313,N,1,79,202003
20200302,20200228,73,165030073,173242423,25273,N,1,80,202003
20200302,20200228,73,165030073,173354928,25261,N,1,81,202003
20200302,20200228,73,165030073,173408312,25270,N,1,82,202003
20200302,20200228,73,165030073,173558830,25253,N,10,83,202003
20200302,20200228,73,165030073,173637520,25251,N,1,84,202003
20200302,20200228,73,165030073,173638554,25260,N,10,85,202003
20200302,20200228,73,165030073,173725350,25277,N,1,86,202003
20200302,20200228,73,165030073,173743113,25249,N,2,87,202003
20200302,20200228,73,165030073,173946863,25222,N,1,88,202003
20200302,20200228,73,165030073,173948419,25212,N,2,89,202003
20200302,20200228,73,165030073,174110061,25240,N,1,90,202003
20200302,20200228,73,165030073,174147067,25247,N,1,91,202003
20200302,20200228,73,165030073,174242449,25215,N,2,92,202003
20200302,20200228,73,165030073,174343977,25229,N,5,93,202003
20200302,20200228,73,165030073,174435839,25233,N,1,94,202003
20200302,20200228,73,165030073,174517768,25223,N,1,95,202003
20200302,20200228,73,165030073,174605174,25194,N,5,96,202003
20200302,20200228,73,165030073,174611395,25180,N,2,97,202003
20200302,20200228,73,165030073,174615147,25150,N,6,98,202003
20200302,20200228,73,165030073,174617768,25150,N,4,99,202003
20200302,20200228,73,165030073,174619200,25140,N,2,100,202003
20200302,20200228,73,165030073,174624800,25134,N,2,101,202003
20200302,20200228,73,165030073,174627514,25139,N,10,102,202003
20200302,20200228,73,165030073,174627514,25141,N,5,103,202003
20200302,20200228,73,165030073,174632112,25133,N,1,104,202003
20200302,20200228,73,165030073,174637075,25155,N,2,105,202003
20200302,20200228,73,165030073,174644006,25163,N,10,106,202003
